journey: voyage, expedition, trek, pilgrimage, odyssey
hostile: aggressive, antagonistic, mean, vicious, unfriendly
wealthy: rich, affluent, prosperous, loaded, well‑off
poor: impoverished, needy, penniless, destitute, broke
healthy: fit, strong, robust, sound, energetic
ill: sick, unwell, ailing, unwell, debilitated
young: youthful, fresh, juvenile, teenage, youthful
old: elderly, aged, ancient, venerable, decrepit
quiet: silent, noiseless, peaceful, hushed, serene
noisy: loud, cacophonous, clamorous, distracting, raucous
see: view, observe, behold, notice, glimpse
look: glance, stare, watch, inspect, survey
watch: monitor, observe, watch, follow, scrutinize
listen: hear, heed, attend, pay attention, listen closely
smell: scent, odor, aroma, whiff, reek
taste: flavor, savor, relish, sample, palate
touch: feel, handle, caress, graze, brush
walk: stroll, wander, stride, trek, amble
jump: leap, spring, bound, hop, vault
sit: settle, perch, rest, lounge, squat
stand: rise, upright, loom, remain, erect
sleep: nap, slumber, doze, rest, hibernate
wake: awaken, rouse, rise, stir, revive
open: unfold, unseal, unlock, unfasten, reveal
close: shut, fold, seal, lock, close tightly
begin: start, commence, initiate, launch, open
finish: complete, conclude, terminate, end, cease
live: reside, dwell, inhabit, occupy, exist
die: perish, expire, decease, pass away, fade
help: assist, aid, support, help out, lend a hand
support: back, encourage, endorse, sustain, uphold
oppose: resist, fight, combat, contest, challenge
teach: instruct, educate, train, coach, guide
learn: study, master, grasp, understand, acquire
know: recognize, realize, comprehend, grasp, appreciate
believe: trust, accept, assume, think, suppose
doubt: question, suspect, mistrust, disbelieve, distrust
truth: fact, reality, certainty, veracity, genuineness
lie: falsehood, untruth, fabrication, deception, fib
fact: detail, evidence, information, datum, proof
opinion: view, idea, judgment, belief, stance
reason: cause, motive, ground, rationale, basis
choice: option, alternative, pick, selection, decision
decision: resolution, choice, determination, verdict, judgment
plan: strategy, scheme, outline, design, blueprint
problem: issue, difficulty, challenge, obstacle, complication
solution: answer, remedy, fix, cure, resolution
hope: wish, desire, expectation, longing, optimism
despair: hopelessness, defeat, downfall, sorrow, defeat
joy: happiness, delight, pleasure, ecstasy, bliss
sorrow: sadness, grief, misery, heartache, woe
anger: rage, fury, wrath, irritation, indignation
fear: terror, dread, apprehension, panic, alarm
peace: tranquility, harmony, serenity, calm, quiet
war: conflict, battle, warfare, struggle, hostility
love: affection, adoration, passion, devotion, fondness
hate: animosity, loathing, enmity, hostility, detestation
friend: buddy, companion, mate, associate, colleague
enemy: foe, rival, opponent, adversary, antagonist
happy: joyous, delighted, thrilled, ecstatic, euphoric
sad: sorrowful, downcast, melancholy, unhappy, dejected
tired: exhausted, weary, fatigued, drained, worn out
energetic: lively, active, vigorous, spirited, dynamic
clean: neat, tidy, spotless, pristine, immaculate
dirty: filthy, grimy, messy, unclean, soiled
bright: shiny, luminous, glowing, radiant, vivid
faint: dim, weak, pale, shadowy, indistinct
loud: noisy, thunderous, blaring, deafening, cacophonous
quiet: quiet, hushed, silent, peaceful, serene
good: great, excellent, superb, wonderful, commendable
bad: poor, terrible, awful, dreadful, lousy
important: crucial, vital, significant, essential, key
trivial: insignificant, minor, unimportant, petty, superficial
real: genuine, authentic, true, actual, factual
false: fake, counterfeit, fictitious, deceptive, dishonest
possible: feasible, plausible, conceivable, likely, workable
impossible: unthinkable, unfeasible, inconceivable, unthinkable, unattainable
easy: simple, effortless, uncomplicated, undemanding, painless
difficult: hard, challenging, demanding, tough, strenuous
simple: plain, straightforward, basic, clear, uncomplicated
complex: complicated, intricate, convoluted, involved, labyrinthine
same: identical, alike, equal, similar, indistinguishable
different: dissimilar, distinct, varied, diverse, unlike
similar: alike, comparable, parallel, corresponding, approximate
opposite: contrary, reverse, converse, inverse, antithetical
full: complete, entire, whole, filled, packed
empty: void, vacant, barren, hollow, desolate
healthy: fit, robust, sound, well, strong
ill: sick, unwell, ailing, infirm, unwell
young: youthful, fresh, juvenile, teenage, childlike
old: elderly, aged, ancient, venerable, geriatric
rich: wealthy, affluent, prosperous, loaded, well‑off
poor: impoverished, needy, destitute, penniless, broke
quiet: quiet, calm, peaceful, still, serene
noisy: loud, raucous, clamorous, boisterous, disruptive
bright: luminous, radiant, shining, gleaming, vivid
dim: gloomy, dull, subdued, shadowy, faint
heavy: weighty, burdensome, massive, bulky, solid
light: airy, light‑weight, insubstantial, buoyant, floaty
big: large, huge, massive, enormous, extensive
small: tiny, little, minute, narrow, petite
high: tall, lofty, elevated, towering, elevated
low: short, low‑lying, flat, depressed, minimal
deep: profound, intense, serious, submerged, extensive
shallow: superficial, light, thin, shallow, skin‑deep
true: correct, accurate, genuine, faithful, veracious
false: incorrect, inaccurate, untrue, spurious, bogus
real: actual, tangible, concrete, authentic, material
imaginary: unreal, fictitious, illusory, contrived, imagined
new: fresh, recent, modern, novel, unprecedented
old: antique, archaic, obsolete, outdated, passé
fast: quick, rapid, speedy, swift, hasty
slow: gradual, leisurely, sluggish, delayed, late
early: soon, premature, ahead of time, prompt, punctual
late: delayed, overdue, behind schedule, tardy, belated
near: close, nearby, proximate, close‑at‑hand, adjacent
far: distant, remote, far‑off, away, far flung
open: accessible, available, uncovered, exposed, receptive
closed: sealed, shut, shut off, barred, unavailable
warm: cozy, heated, balmy, mild, heated
cold: chilly, frigid, frozen, cold, freezing
dry: arid, parched, drought‑stricken, sun‑baked, dry
wet: moist, damp, soggy, soaked, sopping
weak: feeble, fragile, frail, powerless, flimsy
strong: powerful, robust, sturdy, formidable, mighty
soft: gentle, tender, plush, yielding, cushioned
hard: tough, firm, rigid, solid, uncompromising
simple: easy, uncomplicated, basic, straightforward, clear
complex: complicated, intricate, convoluted, involved, elaborate
